"subject","object","probability"
"donald mëllugja","soccer player","1"
"siege of ambur","military conflict","1"
"dead to rights (series)","television show","1"
"musculoskeletal disorder","disease","1"
"joachim von kortzfleisch","military person","1"
"przecznia","village","1"
"madan lal shukla","politician","1"
"the woman at the crossroads","movie","1"
"alan webb (footballer)","soccer manager","1"
"chieve","settlement","1"
"sri ksetra","city","1"
"2003 tokyo verdy 1969 season","soccer club","1"
"2003 tokyo verdy 1969 season","soccer club season","1"
"stewart, texas","village","1"
"stijn streuvels","person","1"
"computer entertainment supplier's association","company","1"
"leo willis","person","1"
"borealis (2013 film)","television show","1"
"super play action football","video game","1"
"saline township, jefferson county, ohio","settlement","1"
"saline township, jefferson county, ohio","town","1"
"gemma whelan","person","1"
"ben harrison (footballer, born 1997)","soccer player","1"
"gergő szécsi","soccer player","1"
"maria tescanu rosetti","person","1"
"winfield, texas","settlement","1"
"winfield, texas","city","1"
"estadio fiscal de linares","stadium","1"
"estadio fiscal de linares","venue","1"
"charles f. conrad","person","1"
"cambridge station (minnesota)","station","1"
"tom mulholland (gaelic footballer)","gaelic games player","1"
"mark meseroll","american football player","1"
"mark martin","nascar driver","1"
"battle of alma","military conflict","1"
"tv tan ep","album","1"
"teresa franchini","person","1"
"danielle gregoire","politician","1"
"84th airlift flight","military unit","1"
"chico lanete","basketball player","1"
"21 (the paddingtons song)","single","1"
"21 (the paddingtons song)","song","1"
"chassiers","settlement","1"
"john keells it","company","1"
"bolbolenellus","animal","1"
"total control (band)","musical artist","1"
"carnegie mellon university in qatar","university","1"
"ali abdi (footballer)","soccer player","1"
"veselovka, voronezh oblast","settlement","1"
"sebastian francis shaw","cleric","1"
"pitara","insect","1"
"jori aro","curler","1"
"miserden","settlement","1"
"iowa chops","hockey team","1"
"sara jemai","athlete","1"
"denis rusu (footballer, born 2001)","soccer player","1"
"1922–23 blackpool f.c. season","soccer club season","1"
"murex megapex","mollusca","1"
"lake gairdner national park","administrative region","1"
"the edge of silence","album","1"
"chains (album)","album","1"
"electro magnetic unit","album","1"
"gautam srivastava","person","1"
"rhinoncus castor","insect","1"
"marshall g. jones","scientist","1"
"ryan taylor (north dakota politician)","office holder","1"
"valeria lukyanova","model","1"
"moolniwasi shudra to khalsa","movie","1"
"vesdre","river","1"
"borovica","settlement","1"
"dirk cussler","person","1"
"itzsoweezee (hot)","single","1"
"bokani soko","person","1"
"verone mckinley iii","american football player","1"
"daxing line, beijing subway","railway line","1"
"julianowo, masovian voivodeship","village","1"
"penn state university","university","1"
"lilleshall monument","monument","1"
"guido gozzano","writer","1"
"national museum of peru","museum","1"
"walter b. gage","college coach","1"
"premontre monastery church of zsámbék","historic building","1"
"haider ali khan","politician","1"
"2014/15 tpsl season","football league season","1"
"antonio madiona","painter","1"
"paracles contraria","insect","1"
"elena ferrante","writer","1"
"stormy weathers (film)","television show","1"
"no more words","song","1"
"bartodzieje, grójec county","village","1"
"thomas fairfax, 9th lord fairfax of cameron","person","1"
"thomas fairfax, 9th lord fairfax of cameron","noble","1"
"jim roddey","office holder","1"
"jim roddey","politician","1"
"topla reber","settlement","1"
"ioannis giangos","military person","1"
"ioannis giangos","politician","1"
"classical and quantum gravity","academic journal","1"
"juno and the paycock (film)","movie","1"
"jitsuko","given name","1"
"495 eulalia","planet","1"
"concord building","building","1"
"amitabh aurora","person","1"
"nico varela","soccer player","1"
"anastasio somoza portocarrero","person","1"
"henry l. langhaar","scientist","1"
"larry new","college coach","1"
"church of the virgin hodegetria (agrafenovka)","historic building","1"
"let me rock you","album","1"
"jakov, serbian archbishop","cleric","1"
"howard stevens","american football player","1"
"julie christie (producer)","person","1"
"restless: the best","album","1"
"uscgc rush (whec-723)","ship","1"
"william cleireach macleod","person","1"
"turkish cricket board","organisation","1"
"johann gottfried spiesshofer","person","1"
"edoardo bove","soccer player","1"
"the death of noah glass","book","1"
"tage frid","person","1"
"nadine epstein","person","1"
"africa bibliography","academic journal","1"
"yacambú national park","protected area","1"
"frederick roberts, 1st earl roberts","military person","1"
"jason silva","philosopher","1"
"jason silva","person","1"
"annette kar baxter","academic person","1"
"john corbett (royal navy officer)","military person","1"
"night time, my time","album","1"
"harry bonavia","athlete","1"
"pacificanada","television show","1"
"shoreham beach","park","1"
"tyris flare","fictional character","1"
"snowville historic district","historic place","1"
"tapentadol","drug","1"
"clinical schizophrenia & related psychoses","academic journal","1"
"ribose-5-phosphate—ammonia ligase","enzyme","1"
"manjula reddy","scientist","1"
"heart like a gun","album","1"
"iran, the most dangerous nation?","movie","1"
"armen petrosyan","martial artist","1"
"janis mcgavin","person","1"
"1959–60 coppa italia","soccer tournoment","1"
"claudio della penna","soccer player","1"
"ergodic theory and dynamical systems","academic journal","1"
"china international fund","company","1"
"nigel travis","person","1"
"manuel yarza","soccer player","1"
"mervyn johns","person","1"
"parectopa mnesicala","insect","1"
"mariano puch","soccer player","1"
"indian farmers fertiliser cooperative","company","1"
"omar duarte","soccer player","1"
"roderick johnson","american football player","1"
"ocean (film)","movie","1"
"1978 usac mini-indy series season","motorsport season","1"
"yooyoung (singer)","musical artist","1"
"oskar tennis champion","album","1"
"perfect dark (series)","television show","1"
"seven times down eight times up","album","1"
"konjari","village","1"
"félix bódog widder","artist","1"
"the earl and the girl","musical","1"
"st joseph's church, southampton","historic building","1"
"colorado state highway 53","road","1"
"john h. noble","person","1"
"bob blake (ice hockey)","ice hockey player","1"
"zauralie kurgan","soccer club","1"
"zauralie kurgan","hockey team","1"
"kaali khuhi","movie","1"
"omiostola splendissima","insect","1"
"hero (afrojack and david guetta song)","song","1"
"lapino, vyaznikovsky district, vladimir oblast","village","1"
"zgornja jevnica","settlement","1"
"froy gutierrez","person","1"
"bukowiec, brodnica county","village","1"
"paid programming (tv pilot)","television show","1"
"tuoba heru","noble","1"
"arusha","settlement","1"
"arusha","city","1"
"anthony m. frank","office holder","1"
"anthony m. frank","politician","1"
"ashita no kioku/crazy moon (kimi wa muteki)","single","1"
"akoranga busway station","station","1"
"old irion county courthouse","historic place","1"
"simpsons (department store)","company","1"
"ekua holmes","artist","1"
"queen of the pirates","movie","1"
"niu zhiyuan","athlete","1"
"roee avraham","squash player","1"
"henriciella aquimarina","bacteria","1"
"2017 nrlb championship","event","1"
"liebler-rohl gasoline station","historic place","1"
"nk špansko","soccer club","1"
"malcolm phillips","rugby player","1"
"harvey robinson","college coach","1"
"cheerfu11y","movie","1"
"h. c. mahadevappa","politician","1"
"mário ruivo","person","1"
"mozilla open software patent license","software","1"
"pedro josé lorenzo","soccer manager","1"
"tam airlines","company","1"
"loxonepea","animal","1"
"marco paolini (footballer)","soccer player","1"
"adrián solano (cross-country skier)","skier","1"
"quake ii engine","software","1"
"bandikhedi (census code 482082)","village","1"
"crystal brook (beaver kill tributary)","river","1"
"steffen lang","soccer player","1"
"kruopiai","town","1"
"thirlmere railway station, new south wales","station","1"
"fauja singh sarari","politician","1"
"edward kleinbard","person","1"
"eastern cables limited","organisation","1"
